target,ids,date,flag,user,text
0,2326822249,Thu Jun 25 07:33:26 PDT 2009,NO_QUERY,KorieG,Work is slow! 
0,2326822476,Thu Jun 25 07:33:27 PDT 2009,NO_QUERY,10SyReE,At work studying :-/ I want to enjoy this radiant sun 
0,2326823019,Thu Jun 25 07:33:30 PDT 2009,NO_QUERY,ashleycorix3,@katiedollfacexo I hate the dentist 
0,2326823182,Thu Jun 25 07:33:30 PDT 2009,NO_QUERY,bklyngirlswag,Ok atl I thought new york had some killer pigeons...I was just attacked by a pigeon LOL I thought they were afraid of people 
0,2326823302,Thu Jun 25 07:33:31 PDT 2009,NO_QUERY,LicenceToThrill,Eeef am missing show 2nite  Feel crappier than before but determined to make it tomorrow... somehow...
0,2326823384,Thu Jun 25 07:33:31 PDT 2009,NO_QUERY,Ferschmitt,I am so angry beacuse my friend Val dont like more me 
0,2326826626,Thu Jun 25 07:33:47 PDT 2009,NO_QUERY,kateblogs,"@LizS4ra I know what you mean. There are a couple of ppl I'm not happy about having as readers, but I can't block them "
0,2326826866,Thu Jun 25 07:33:48 PDT 2009,NO_QUERY,CassY919,@donniewahlberg wtf i guess me and u arent meant to be  i got joey in hand of marriage and jordan for my lover hahaha
0,2326826878,Thu Jun 25 07:33:48 PDT 2009,NO_QUERY,scraplovers,up early hoping to get something done before I head to the apple store....phone stopped working 
0,2326827624,Thu Jun 25 07:33:51 PDT 2009,NO_QUERY,sportysab,oi enough about transformers already lahh! i haven't watch! 
0,2326827628,Thu Jun 25 07:33:51 PDT 2009,NO_QUERY,thesavvycouture,I want french fries but it's only 10:33  smh
0,2326827788,Thu Jun 25 07:33:52 PDT 2009,NO_QUERY,ChiDirtyGirl,@chubbyjones soul veg easy has an amazing beet salad but its super south &amp; not feasable unless ure coming from midway  
0,2326827923,Thu Jun 25 07:33:53 PDT 2009,NO_QUERY,neondeception,@bbgeekchic my mind powers are non existant 
0,2326828399,Thu Jun 25 07:33:55 PDT 2009,NO_QUERY,briemarie05,still poisoned  laying out then work tonight!
0,2326828881,Thu Jun 25 07:33:58 PDT 2009,NO_QUERY,scott_ish,@BrionS Oh no  I know several people that work there.
0,2326829220,Thu Jun 25 07:33:59 PDT 2009,NO_QUERY,YoYo_P,"I have a whining, teething sick grand baby today, it's going to be a long day  http://ff.im/4qdig"
0,2326829226,Thu Jun 25 07:33:59 PDT 2009,NO_QUERY,JChiz41,@itwittmyclit I'm jealous. I wanna nerd out 
0,2326829229,Thu Jun 25 07:33:59 PDT 2009,NO_QUERY,ProtectedVoid,@scottstokes Me too. a TON of js to deal with today...and it's not even pre-written.  I have to write it. 
0,2326830597,Thu Jun 25 07:34:05 PDT 2009,NO_QUERY,vdpro,"@ClillaryHinton my throath hurts-can't swallow coffee, coughing - can't smoke, headache-can't sit in front of computer....not a good day "
0,2326830662,Thu Jun 25 07:34:06 PDT 2009,NO_QUERY,TheXiaxue,Omg mike mistakenly took the timing for Transformers to be 1030 when it's 1130!! Now we trapped here for an hour with nothing to do. 
0,2326830982,Thu Jun 25 07:34:07 PDT 2009,NO_QUERY,RavenousReadr,@cynbalog No Problemo..I only wish you were coming out to the west coast 
0,2326831120,Thu Jun 25 07:34:08 PDT 2009,NO_QUERY,md1explore,@Lizzs_Lockeroom Now metro may be a different thing....No Slurpin on the train 
0,2326831138,Thu Jun 25 07:34:08 PDT 2009,NO_QUERY,KinaGrace,i am not-so-happy 
0,2326831765,Thu Jun 25 07:34:11 PDT 2009,NO_QUERY,krystathrowa,I really wanna make this the best summer ever but its not working out. I'm actually having a boring one 
0,2326831839,Thu Jun 25 07:34:11 PDT 2009,NO_QUERY,chocomeow,"and from my last 2 tweets, im sorry if any of you guys my followers is a miley fan. "
0,2326832269,Thu Jun 25 07:34:13 PDT 2009,NO_QUERY,holtenwyatt,i really want to go see transformers but i have a swim meet tonight and i cant even go to sundown either  oh well please follow me!
0,2326832316,Thu Jun 25 07:34:13 PDT 2009,NO_QUERY,sags72,"@hank_honker Oops just picked up your message, busy with new i phone. Baltacha lost 1st set 5-7 after being 3-1 up. "
0,2326832429,Thu Jun 25 07:34:14 PDT 2009,NO_QUERY,demodawg,@thatchman1 re storms. I had plans to visit the woods after work. This sucks. 
0,2326832765,Thu Jun 25 07:34:16 PDT 2009,NO_QUERY,JazmineMock,Taking money out of the bank always makes me cringe 
0,2326832899,Thu Jun 25 07:34:16 PDT 2009,NO_QUERY,iainmacleod,"gonna have a shot at editing my #xbmc video db at some point, moving to a new system a few months back means my watched are now unwatched "
0,2326832978,Thu Jun 25 07:34:17 PDT 2009,NO_QUERY,StoatWithToast,"It feels like Martini O'clock, but is in fact, only Three Thirty O'clock "
0,2326833041,Thu Jun 25 07:34:17 PDT 2009,NO_QUERY,elli_mcrmy,want to CHILLAX but I can't  never again I will do a presentation in history -.-
0,2326833465,Thu Jun 25 07:34:19 PDT 2009,NO_QUERY,thejenwolfe,"not feeling too great today  pooperhead allergies, i hate you."
0,2326833545,Thu Jun 25 07:34:19 PDT 2009,NO_QUERY,mblake118,Getting ready for work 
